text,sentiment,urgency,confusion
"Welcome to the discussion forum! We are hoping this will be a useful place for us to discuss anything related to the course. Let's try to keep things productive by following a few guidelines:_x0007__x0007_ - Search before you post - someone might have already posted an answer to your question, and it will be easier for everyone if there aren't a lot of duplicate postings._x0007__x0007_ - Use the sub-forums, e.g. discuss quiz questions (without posting solutions!) in the \Quiz and Review\"" forum._x0007__x0007_ - Let’s follow the golden rule in all posts – write to others as you would like them to write to you. We try to interpret each other charitably, treat each other with respect, and be civil and professional in all our posts._x0007__x0007_We are looking forward to working with you all!""",1,0,1
Will we be able to download the videos as in other edX courses?,1,0,1
FYI this is not an edX course but a Stanford OpenEdX course.,1,0,1
Is the email sent to remind me of this course every week?_x0007_I did not receive any email about the information of this course.,0,1,1
"Thanks, lots of interesting code and method to learn from the course.",1,0,1
"I am looking forward to this course, as I am a great fan of [The Elements of Statisical Learning][1]. Thanks in advance to Profs. Hastie and Tibshirani for making this possible!_x0007__x0007__x0007_  [1]: http://statweb.stanford.edu/~tibs/ElemStatLearn/",1,0,1
Yay!  The class is finally starting!  I've been looking forward to this for weeks.,1,0,1
Thanks for the book apriori...!!All d best everyone for the learning sessions..!!,1,0,1
"Videos are stored in YouTube. For instance Lecture 2.1 is:_x0007__x0007_https://www.youtube.com/watch?v=WjyuiK5taS8_x0007__x0007_Any videos downloader will let you download from YOuTube. Try for instance:_x0007__x0007_https://addons.mozilla.org/en-US/firefox/addon/video-downloadhelper/_x0007__x0007_6 million users._x0007__x0007_Hope this helps,_x0007__x0007_E",1,0,1
"Seriously, have you looked at those questions in light of the material in the lecture? You either need to do a helluva lot better job of explaining the difference between supervised or unsupervised learning, or you need to write questions that are decidable based on the information available in the lecture._x0007__x0007_The first question presents four learning problems._x0007__x0007_1. Predict whether a website user will click on an ad_x0007__x0007_   no training data mentioned._x0007__x0007__x0007_2. Find clusters of genes that interact with each other_x0007__x0007_   no training data mentioned, _x0007_   clustering is mentioned explicitly in the lecture as an unsupervised training_x0007_   problem._x0007__x0007__x0007_3. Classify a handwritten digit as 0-9 from labeled examples_x0007__x0007_   measurable outcome, and training data is available - supervised!_x0007__x0007__x0007_4. Find stocks that are likely to rise _x0007__x0007_   No training data mentioned, so not supervised_x0007__x0007__x0007_And seriously, question 2?   What's up with that question?  The answer has one out of three goals for supervised learning, but because the other two are not mentioned it is incorrect?  This is like a game of simon says?   simon didn't say _x0007_\Understand which inputs a_x000B_ffect the outcome, and how\"" so the answer is incorrect?_x0007_No, the answer is correct, perhaps incomplete, but predicting IS a goal of supervised learning._x0007__x0007_You guys are just playing games here.""",0,1,1
