text,sentiment,urgency,confusion
"Welcome to the discussion forum! I'm hoping this will be a useful place for us to discuss anything related to the course. <br><br>_x0007_Let's try to keep things productive by following a few guidelines:<br><br>_x0007_(1) Search before you post - someone might have already posted an answer to your question, and it'll be easier for everyone if there aren't a lot of duplicate postings.<br><br>_x0007_(2) Use the sub-forums, e.g. discuss Homework (without posting solutions!) in the \Homework\"" forum, and introduce yourself in the \""Introduction\"" forum.<br><br>_x0007_(3) Let's try to interpret each other charitably, and treat each other with respect. <br><br>_x0007_Looking forward to working with you all! <br><br>_x0007_Kristin""",1,0,0
"Yes, the video for unit 1.1 isn't working for me either, however the ones for 1.2 and 1.3 work perfectly fine so it's obviously an issue particular to this video.",0,1,1
"I think the question asking the profession should be a radio button, while the following question asking for the area of your work should be a checkbox, as it says \check all that apply\"". They got reversed.""",0,0,1
"Hey all, just a heads up, don't use caps for any of your answers on this quiz, just type in lowercase. I got the 2 nouns correct but since it doesn't match letter by letter (uppercase and lowercase) I got 0 marks for it.",1,0,1
Know how I can contact Kristin to get my mark? :( I'll even email her a screen shot of the answer if she wants it.,1,1,1
Could not open !,0,0,1
Thanks for the link! I wasn't able to view the first video either - the rest of them work fine. _x0007_And thanks for your advice on the caps.,1,0,1
There is no video in lecture 1.it show that it is unavailable,0,0,1
O.o Why can't you access youtube?,1,0,1
Sorry for the trouble. The ID for the 1.1 video was incorrect. We have corrected it and it is now available._x0007__x0007_Sorry for the trouble._x0007__x0007_~<nameRedac_<anon_screen_name_redacted>> (OpenEdX Team),1,0,1
Sorry for the trouble. The ID for the 1.1 video was incorrect. We have corrected it and it is now available._x0007__x0007_Sorry for the trouble._x0007__x0007_~<nameRedac_<anon_screen_name_redacted>> (OpenEdX Team),1,0,1
"The internet is extremely slow here, and I am so glad that the lectures can be downloaded. However, I cannot find the download link to the first lecture. Is it not attached on purpose or just missing? Thanks.",0,1,1
No youtube video please!!! In China you have no access to youtube!,0,1,1
Thank you very much for your suggestion,1,0,1
No link here too  !!!,0,1,1
You can download this course from Youtube._x0007__x0007_How to Download YouTube Videos: http://www.wikihow.com/Download-YouTube-Videos_x0007__x0007_I use the second methods.,1,0,1
i had typed correctly.but it comes out wrong two times.. what do i do? ok i realise i didnt put full stop.. dear friends be careful about punctuation as well,0,0,1
Alright. Me too.,1,0,1
subtitles / captions would be nice- unable to follow all  of the lecture sometimes._x0007_few of the courses earlier in coursera- had  english captions  option.,1,1,1
So that I could watch the video lectures even if I have to mute my device for some reasons. Or a lecture note with explanation of each bullet point..._x0007_I know it is tedious amount of work... but I believe it really helps!,1,1,1
true...but then you have to go to youtube page for this video not directly on this page right(´?_?`),1,0,1
Thank you for your suggestions!,1,0,1
"I'm new to edx, searching for the lecture slides to download,_x0007_could someone helpout ..?",0,1,1
you can jump to youtube directly from video and then you can download it through youtube... thats exactly i did....,1,0,1
I can not see the unit please help me to solve problem,0,1,1
???????coursa ????????????? ?????Safari????????????????,1,0,1
"Good Day!_x0007__x0007_In my country, we are taught that the passive voice should be used in all kinds of academic especially scientific papers. So I am wondering whether that rule is strictly followed or, as a writer, you can deviate from the norm and use your own style in writing a scientific paper?_x0007__x0007_Vince",1,1,1
"If possible, use a VPN service that links you to an out-of-country server.",1,0,1
Figure 2 shows two electron trajectories if the return kinetic energy is less than 3.2Up. _x0007__x0007_Is it appropriate to change the order in which the points are made?,1,1,1
"Hi!_x0007__x0007_My name is <nameRedac_<anon_screen_name_redacted>> and I just wanted to say \hello\"" to everyone. I'm excited about taking this course and look forward to learning and interacting with everyone. _x0007__x0007_Cheers!""",1,0,1
i cannot access videos,0,1,1
"I would appreciate if there is official link to download the lecture videos, captions, and slides.",1,1,1
"I'm in China too,could you help us to solve this problem? Thank you very much!",0,1,1
"Same  problem in Pakistan. Cant watch the video, perhaps due to blocked Youtube. Please upload the recorded lectures on some other social forum as well without making any of them the default website (e.g dailymotion, vimeo, facebook) or simply give here the downnload link. We'll be very grateful. Thanks a lot._x0007_P.S. Please do it asap. Thanks. Stay blessed!",0,1,1
Youtube is banned in China.,0,0,1
"I wonder how many of the 22, 000 of us will post an introduction? It could get pretty busy in here...! Anyhow, my name is <nameRedac_<anon_screen_name_redacted>> and I'm from the UK. This is the first OpenEdX course that I've taken and I look forward to working alongside all of you._x0007__x0007_:)",1,0,1
"Some countries block access to YouTube, where the videos for this course are hosted. If possible, use VPN software to connect to a server in another country that allows access to YouTube. Countries that block content usually restrict the use technologies that circumvent this type of censorship. Research your country's laws before using software that could get you in trouble.",1,0,1
cheers to you too,1,0,1
"I attended the training \Statistics in Medicine\"" : all its supports (slidedesk, summaries, video) were available in Wiki section. _x0007_Similarly, it would be very helpful to place all supports for this new course in wiki._x0007_Thanks""",1,0,1
"The course admin can use Google/YouTube to produce automatic transcripts, [as described here][1]. I'll be glad to edit the output._x0007__x0007__x0007_  [1]: http://googleblog.blogspot.com/2009/11/automatic-captions-in-youtube.html%20as%20described%20here",1,0,1
"Hi Candra! _x0007__x0007_I'm Alex, from Melbourne Australia. Looking forward to getting to know everyone. _x0007__x0007_Cheers!",1,0,1
"Thanks, was there just one question in the quiz?",1,0,1
"Hi all. I'm Rolfe in Boston, MA, USA. Feel free to ask me if you want help with anything.",1,0,1
"Hi Hayley,_x0007__x0007_I'm <nameRedac_<anon_screen_name_redacted>> from Iran. It's my first time too and it's my pleasure to have connection with all of you!_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,0,1
Nice to meet you Salvatore! I'm graduate student from Iran.,1,0,1
hai . i am <nameRedac_<anon_screen_name_redacted>> from india.Life begins at 50. so started this course at 50years.,1,0,1
"Hi all, I am <nameRedac_<anon_screen_name_redacted>> from Australia. My first language is Vietnamese. Looking forward to interacting with you all.",1,0,1
"I was also taught to use nouns rather than verbs. Please advise._x0007_Thanks,_x0007_<nameRedac_<anon_screen_name_redacted>>",1,1,1
Hi Candra and all. Greetings form Salvador-Brazil. Looking forward to know everyone too!_x0007__x0007_Cheers!,1,0,1
"Although I am fully enrolled in this course, I haven't been receiving the emails..._x0007_What can I do about it? Thank you!",0,1,1
I have learned this points:_x0007_- The introduction supposedly to drive you in to understand._x0007_- Should be as plain even if you have to presume what you know is not know to the very person whom is reading it.,1,0,1
I think you could lose the match or it could end in a tie. I think the answer offered in the quiz is incomplete.,1,1,1
I have to agree with this because some like to tell a story but the story is not necessary link due to incorrect grammatical errors. The linking should also be grammatically correct.,1,0,1
"Hi, everyone,_x0007__x0007_I am <redacted> from Taiwan. This is also my first time on OpenEdx course. I am now serving as research assistant, and applying for a graduate position in Japan. It is nice to be with everyone here for the written skill training.",1,0,1
Greetings from Pakistan! Please put the lecture PDF link. and please put video download link.thanks,1,1,1
"Hello, I had just viewed Unit 1.2 and on the quiz part, I was asked to search for a noun that can be used as a verb. Well, on my first try, I typed in \Publication\"" and on my second, \""Justification\"". When I viewed the answer, I was right on both attempts but nevertheless, my answers were not accepted as correct. This could be probably due to the first capital letter that I'd used for both words._x0007__x0007_Their data lend some support to the idea that the particle exists, but this is hardly sufficient justification for the paper’s publication in Nature._x0007__x0007_This is a little unfair. Can this matter be solved and my records refreshed?""",1,1,1
"Yes I would like to download videos. I can´t do the course \online\"" . I need to download and watch them later.""",1,1,1
"Hi all, _x0007_I am glad to take this course. Good luck for everyone.",1,0,1
"Hi there, _x0007_except the video 1.1, the rest are available to download and there's also subtitle for each video.",1,0,1
"What about: \The DSMB committee recommended to halt the study.\""?""",1,1,1
"Hello Everyone,_x0007__x0007_My name is <nameRedac_<anon_screen_name_redacted>> and I am a Ph.D student studying at the University of Pretoria in South Africa. I am looking forward to the course and the interactions with all of you._x0007__x0007_Cheers,_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,0,1
"Hi guys, here is the video:_x0007_https://www.youtube.com/watch?v=PPsocEFCGRU",1,0,1
